,0
0,1822919.1319642626
1,1821473.3299642627
2,1821239.7389642627
3,1821239.7389642627
4,1821239.7389642627
5,1821239.7389642627
6,1821239.7389642627
7,1821239.7389642627
8,1821239.7389642627
9,1821239.7389642627
10,1821239.7389642627
11,1821239.7389642627
12,1821239.7389642627
13,1821239.7389642627
14,1821239.7389642627
15,1821239.7389642627
16,1821239.7389642627
17,1821239.7389642627
18,1821239.7389642627
19,1821239.7389642627
20,1821239.7389642627
21,1821239.7389642627
22,1821239.7389642627
23,1821239.7389642627
24,1821239.7389642627
25,1821239.7389642627
26,1821239.7389642627
27,1821239.7389642627
28,1821239.7389642627
29,1821239.7389642627
30,1821239.7389642627
31,1821239.7389642627
32,1821239.7389642627
33,1821239.7389642627
34,1821239.7389642627
35,1821239.7389642627
36,1821239.7389642627
37,1821239.7389642627
38,1821239.7389642627
39,1821239.7389642627
40,1821239.7389642627
41,1821239.7389642627
42,1821239.7389642627
43,1821239.7389642627
44,1821239.7389642627
45,1821239.7389642627
46,1821239.7389642627
47,1821239.7389642627
48,1821239.7389642627
49,1821239.7389642627
50,1821239.7389642627
51,1821239.7389642627
52,1821239.7389642627
53,1821239.7389642627
54,1821239.7389642627
55,1821239.7389642627
56,1821239.7389642627
57,1820310.985964263
58,1822006.9309642627
59,1825492.912964263
60,1826324.6559642632
61,1832112.132964263
62,1830678.4059642628
