,0
0,-7047.8385266303085
1,1515.6666075058747
2,-3689.398026226787
3,1238.3922658199444
4,-7705.421005046926
5,-8261.283447444672
6,-11627.291622263845
7,14170.47531466675
8,-19283.164443970192
9,-8824.922796658706
10,13917.431298441486
11,742.6776078795083
12,20323.40352976066
13,20520.623784218682
14,-1484.8843473934103
15,-5722.156727191526
16,-3975.675219731871
17,-194.79541667341255
18,-1403.9650375817437
19,191.16699999989942
20,332.8469999998342
21,977.6159999999218
22,1138.2470000002068
23,-520.2800000004936
24,0.0
25,0.0
26,89.0629999996163
27,-130.15600000019185
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,318.4810000001453
34,1306.0330000005197
35,-261.37000000011176
36,-294.8619999999646
37,-1618.6980000000913
38,-2070.9539999999106
39,3926.69299999997
40,2184.6790000000037
41,-1822.783999999985
42,-1880.5019999998622
43,3029.747999999905
44,-58.64700000011362
45,489.3450000002049
46,-10365.397320000222
47,9487.51750325854
48,5858.250657623401
49,-2916.647599963937
50,-1398.7114997117314
51,17833.80788055784
52,-3694.5368889556266
53,-5693.053513018647
54,-1452.3439569901675
55,-7595.66824481287
56,-73.3409712901339
57,-5137.835523132002
58,9408.052805280546
59,-11244.87821782194
60,4781.89881188143
61,5262.047128712758
