,0
0,1658583.7743442617
1,1659452.746344262
2,1661319.6793442622
3,1662521.593344262
4,1664069.049344262
5,1663931.0753442622
6,1659924.0943442623
7,1660374.7523442623
8,1671818.3213442625
9,1679789.4383442625
10,1705126.0198242625
11,1683117.3151342627
12,1687186.1032842624
13,1691201.3544642625
14,1701241.8031042626
15,1677570.2728042623
16,1679843.5438542624
17,1702832.7544342624
18,1702717.7735542625
19,1707959.5865042624
20,1718501.1371842625
21,1723379.5371842624
22,1717450.2771842626
23,1701572.3771842625
24,1701086.7371842626
25,1700446.7171842626
26,1726169.1771842625
27,1736245.0571842624
28,1726865.1771842625
29,1758691.9171842623
30,1756842.4171842625
31,1762745.9771842626
32,1760409.0171842624
33,1770595.1171842625
34,1774615.9771842624
35,1772062.7571842624
36,1767838.9371842626
37,1765575.6571842625
38,1776106.1171842625
39,1767028.2571842624
40,1764942.1771842623
41,1761536.3971842625
42,1744739.9371842626
43,1744509.4171842625
44,1769203.4971842624
45,1774511.8771842627
46,1780939.7371842626
47,1783239.1571842623
48,1793654.1771842625
49,1799863.8571842625
50,1798125.7771842624
51,1788526.7171842626
52,1806736.8971842625
53,1777233.4771842626
54,1776375.1171842625
55,1793194.5571842624
56,1787409.7571842624
57,1793997.9571842626
58,1804423.1371842625
59,1826753.9371842626
60,1824743.8571842625
61,1822919.1319642626
62,1822919.1319642626
