,0
0,1831011.6834443237
1,1830597.061612229
2,1830904.5565321094
3,1830763.5792987286
4,1830390.4557238978
5,1830269.8698572197
6,1830269.8698572197
7,1830269.8698572197
8,1830269.8698572197
9,1830269.8698572197
10,1830269.8698572197
11,1830269.8698572197
12,1830269.8698572197
13,1830269.8698572197
14,1830269.8698572197
15,1830269.8698572197
16,1830269.8698572197
17,1830269.8698572197
18,1830269.8698572197
19,1830269.8698572197
20,1830269.8698572197
21,1830269.8698572197
22,1830269.8698572197
23,1830269.8698572197
24,1830269.8698572197
25,1830269.8698572197
26,1830269.8698572197
27,1830269.8698572197
28,1830269.8698572197
29,1830269.8698572197
30,1830269.8698572197
31,1830269.8698572197
32,1830269.8698572197
33,1825467.7036968328
34,1816872.5066630468
35,1816611.1228219455
36,1816611.1228219455
37,1814561.9150552934
38,1814469.5089588251
39,1814469.5089588251
40,1814469.5089588251
41,1814469.5089588251
42,1814469.5089588251
43,1814469.5089588251
44,1814469.5089588251
45,1814469.5089588251
46,1814469.5089588251
47,1814469.5089588251
48,1814469.5089588251
49,1814469.5089588251
50,1814469.5089588251
51,1814469.5089588251
52,1814469.5089588251
53,1814469.5089588251
54,1814469.5089588251
55,1814469.5089588251
56,1814469.5089588251
57,1814469.5089588251
58,1814469.5089588251
59,1814469.5089588251
60,1814469.5089588251
61,1814469.5089588251
62,1814469.5089588251
