,0
0,1361067.7783399338
1,1382679.3405062219
2,1376337.3957706443
3,1388773.8315583726
4,1379528.9405737985
5,1377161.1257445908
6,1391097.0193601914
7,1383246.265572623
8,1382766.3207972983
9,1360942.4136127052
10,1357280.5126207795
11,1348009.466468989
12,1356859.8289784444
13,1357219.7206992337
14,1375075.8299399114
15,1390733.4105164476
16,1399418.1178483975
17,1390902.9610527472
18,1378640.5281935392
19,1364033.7704676953
20,1377152.8185465746
21,1375175.8602125237
22,1406176.8445669168
23,1405534.0089352946
24,1409706.3205493346
25,1401112.8721258766
26,1414031.858775655
27,1421944.6619904835
28,1435762.1880031263
29,1447570.2107099672
30,1451955.7220149438
31,1450042.0165442033
32,1450919.7296756401
33,1455325.5200466323
34,1463354.9008352032
35,1460220.5385757668
36,1451768.0967339317
37,1452978.7053577967
38,1448481.2620425313
39,1472023.2650965198
40,1462861.3173475962
41,1467731.3293171222
42,1464860.2608075012
43,1462232.4935945729
44,1458198.2558704845
45,1455307.6142643418
46,1453260.1478397513
47,1452165.9213108644
48,1448772.4152626144
49,1451456.97162275
50,1455008.051754529
51,1442867.0087667913
52,1442427.372508238
53,1408866.010815596
54,1406751.1956900933
55,1410793.2428483416
56,1398293.3174237113
57,1393742.451738382
58,1412345.7834563816
59,1407036.349872341
60,1414048.1734961094
61,1408698.5935991257
62,1405705.5872155689
