,0
0,1832650.9672002643
1,1831692.156104067
2,1831577.1815051828
3,1831577.1815051828
4,1831577.1815051828
5,1831577.1815051828
6,1831577.1815051828
7,1831577.1815051828
8,1831577.1815051828
9,1831577.1815051828
10,1831577.1815051828
11,1831577.1815051828
12,1831577.1815051828
13,1831577.1815051828
14,1831577.1815051828
15,1831577.1815051828
16,1831577.1815051828
17,1831577.1815051828
18,1831577.1815051828
19,1831577.1815051828
20,1831577.1815051828
21,1831577.1815051828
22,1831577.1815051828
23,1831577.1815051828
24,1831577.1815051828
25,1831577.1815051828
26,1831577.1815051828
27,1831577.1815051828
28,1831186.219564338
29,1831011.6834443237
30,1831011.6834443237
31,1831011.6834443237
32,1831011.6834443237
33,1831011.6834443237
34,1831011.6834443237
35,1831011.6834443237
36,1831011.6834443237
37,1831011.6834443237
38,1831011.6834443237
39,1831011.6834443237
40,1831011.6834443237
41,1831011.6834443237
42,1831011.6834443237
43,1831011.6834443237
44,1831011.6834443237
45,1831011.6834443237
46,1831011.6834443237
47,1831011.6834443237
48,1831011.6834443237
49,1831011.6834443237
50,1831011.6834443237
51,1831011.6834443237
52,1831011.6834443237
53,1831011.6834443237
54,1831011.6834443237
55,1831011.6834443237
56,1831011.6834443237
57,1831011.6834443237
58,1831011.6834443237
59,1831011.6834443237
60,1831011.6834443237
61,1831011.6834443237
62,1831011.6834443237
