,0
0,1069612.6337918274
1,1067126.5280768978
2,1057767.170693577
3,1059172.15998309
4,1058409.9718874893
5,1067448.900607001
6,1077341.9095206854
7,1077983.256039646
8,1077355.673392385
9,1082587.3602398057
10,1083909.5909487777
11,1084439.1881486883
12,1080089.9985683686
13,1082537.9087545387
14,1080494.2886683384
15,1081299.7384550197
16,1086719.6107622322
17,1076121.4738241504
18,1071087.718744352
19,1075787.9050026438
20,1065468.4864197257
21,1058882.1821155425
22,1056749.214603016
23,1060356.4331277106
24,1058257.5529901313
25,1071802.4508653348
26,1060207.7418849082
27,1061111.8498663525
28,1047719.5167833407
29,1059666.7902156
30,1049500.8397719704
31,1047500.4000405571
32,1048068.880250963
33,1053623.7833862158
34,1054767.1394284598
35,1066311.7030087898
36,1075539.7793738362
37,1072284.3990172052
38,1074678.2705094295
39,1070613.1981845014
40,1071024.4723907965
41,1075444.2693927295
42,1074588.9237286048
43,1080993.842593778
44,1081129.243922429
45,1083886.2451875608
46,1081507.415161958
47,1078049.7318543503
48,1071403.4994032138
49,1066558.9710821505
50,1063762.504625014
51,1069021.9052116775
52,1066806.9431673153
53,1073009.6902572187
54,1075663.6020906619
55,1074623.7167130308
56,1088606.3492157005
57,1047130.044145369
58,1031410.743972145
59,1042093.6895753758
60,1059075.7393765708
61,1074386.2277121544
62,1075381.1350785058
