,0
0,8825.097991131013
1,-6341.944735577563
2,12436.43578772829
3,-9244.8909845741
4,-2367.814829207724
5,13935.893615600653
6,-7850.7537875685375
7,-479.94477532454766
8,-21823.907184593147
9,-3661.900991925737
10,-9271.046151790535
11,8850.362509455532
12,359.89172078925185
13,17856.109240677673
14,15657.580576536246
15,8684.707331949845
16,-8515.156795650255
17,-12262.43285920797
18,-14606.757725843927
19,13119.048078879248
20,-1976.9583340508398
21,31000.98435439309
22,-642.8356316222344
23,4172.3116140400525
24,-8593.44842345803
25,12918.986649778439
26,7912.803214828484
27,13817.526012642775
28,11808.022706840886
29,4385.511304976651
30,-1913.7054707405623
31,877.7131314368453
32,4405.790370992152
33,8029.380788570968
34,-3134.3622594363987
35,-8452.441841835156
36,1210.6086238650605
37,-4497.443315265467
38,23542.003053988563
39,-9161.947748923674
40,4870.0119695260655
41,-2871.06850962108
42,-2627.767212928273
43,-4034.237724088365
44,-2890.6416061427444
45,-2047.4664245904423
46,-1094.2265288869385
47,-3393.506048250012
48,2684.5563601355534
49,3551.080131778959
50,-12141.042987737572
51,-439.6362585532479
52,-33561.361692642095
53,-2114.815125502646
54,4042.047158248257
55,-12499.925424630288
56,-4550.865685329307
57,18603.331717999652
58,-5309.433584040729
59,7011.82362376852
60,-5349.579896983691
61,-2993.0063835568726
