,0
0,1075381.1350785058
1,1069790.1782263701
2,1070421.2285709106
3,1088630.1150162893
4,1096302.1055480747
5,1106933.6148940546
6,1107550.2346948143
7,1118991.7592414296
8,1118969.233242947
9,1123595.8919502352
10,1120967.4446190586
11,1122899.5346122205
12,1117068.7587067138
13,1118649.359874107
14,1114586.4244027024
15,1119779.9995132121
16,1116713.3845756666
17,1111772.0523295442
18,1108191.394873234
19,1102176.5695981574
20,1095151.576645574
21,1101770.0950134043
22,1099108.6940770845
23,1110256.2243292704
24,1113131.4413563625
25,1114803.1537580322
26,1110017.5812421772
27,1116743.2181119465
28,1115889.554080121
29,1123489.614917042
30,1120698.7260970448
31,1121251.4309849143
32,1121249.7308201997
33,1118689.2994030658
34,1118119.0683041299
35,1118373.74546214
36,1114367.912457524
37,1113272.1745640512
38,1110351.6174298911
39,1115892.5485773322
40,1115146.6077008871
41,1112566.3306044622
42,1111493.0933376236
43,1116802.5406075225
44,1120163.3007051356
45,1119705.300296385
46,1122705.2595178622
47,1096154.1330544425
48,1110621.9633082256
49,1090262.4260834355
50,1087395.5657394938
51,1096113.9927892843
52,1088480.7260515534
53,1088410.8745542709
54,1088478.5317029841
55,1097879.8741511863
56,1104362.8957100224
57,1095401.1060278967
58,1080917.4333899147
59,1089413.5731226546
60,1101098.2040811118
61,1089103.5486500596
62,1100707.5800350204
