,0
0,-1147.8651846586727
1,2836.6799426509533
2,12775.421710238326
3,-1487.3014130094089
4,0.0
5,0.0
6,0.0
7,665.559189471649
8,-246.45003111218102
9,1190.4257199419662
10,3423.3657129313797
11,-850.308225421235
12,-492.4151430593338
13,0.0
14,0.0
15,0.0
16,0.0
17,-1145.6188334175386
18,-129.90973337949254
19,-6838.640559482388
20,3442.218791135354
21,-518.305488764774
22,-336.29521806305274
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
