,0
0,1592802.4731852787
1,1605992.8574682786
2,1632393.760308161
3,1630761.3770742258
4,1630761.3770742258
5,1630761.3770742258
6,1630761.3770742258
7,1630761.3770742258
8,1630761.3770742258
9,1630761.3770742258
10,1630761.3770742258
11,1630761.3770742258
12,1630761.3770742258
13,1630761.3770742258
14,1630761.3770742258
15,1630761.3770742258
16,1630761.3770742258
17,1630761.3770742258
18,1630761.3770742258
19,1630761.3770742258
20,1630761.3770742258
21,1630761.3770742258
22,1630761.3770742258
23,1630761.3770742258
24,1630761.3770742258
25,1630761.3770742258
26,1630761.3770742258
27,1630761.3770742258
28,1630761.3770742258
29,1630761.3770742258
30,1630761.3770742258
31,1630761.3770742258
32,1630761.3770742258
33,1630761.3770742258
34,1630761.3770742258
35,1630761.3770742258
36,1630761.3770742258
37,1630761.3770742258
38,1630761.3770742258
39,1630761.3770742258
40,1630761.3770742258
41,1630761.3770742258
42,1630761.3770742258
43,1630761.3770742258
44,1630761.3770742258
45,1630761.3770742258
46,1630761.3770742258
47,1630761.3770742258
48,1630761.3770742258
49,1630761.3770742258
50,1630761.3770742258
51,1628877.7910310212
52,1628902.9858330016
53,1629850.2054504633
54,1616816.754205639
55,1604616.3611984383
56,1624895.0219320117
57,1615579.8495797766
58,1613057.8704408626
59,1626428.8366034788
60,1594967.4506418826
61,1617192.1212227407
62,1634222.4705362723
