,0
0,417.21881728153676
1,4521.687226822833
2,4560.388406840386
3,-11012.46525262529
4,10375.418510051444
5,4400.336814281531
6,-2461.579404440243
7,10460.203660365893
8,3354.4260753076524
9,-12574.323446828872
10,-1073.9039770534728
11,-5710.156301395036
12,22879.52967251721
13,13934.945266258437
14,10871.209078370826
15,-6439.894848604687
16,-8235.757267053705
17,26305.00832837075
18,-20553.116291917162
19,-1658.9226778068114
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,-1005.1605649567209
35,3053.754963096231
36,6340.218937893631
37,-1438.1055253522936
38,3017.3228880888782
39,-7792.644365736749
40,-1062.9126372635365
41,0.0
42,55.69980918057263
43,1321.4596984703094
44,-2340.298303330317
45,-1300.562899489887
46,2853.713898289716
47,-884.4755130510312
48,0.0
49,0.0
50,0.0
51,1457.0372328239027
52,-180.57504110434093
53,1893.6579417944886
54,1938.5234968492296
55,-5635.651204320369
56,-3118.7300492050126
57,-4782.125054605305
58,-877.326834983658
59,-1085.5797605761327
60,0.0
61,0.0
