,0
0,1000000.0
1,1000060.0111008103
2,994953.736207621
3,983098.8299372941
4,975872.9393336335
5,977303.7249318934
6,980935.6146387762
7,959878.550887894
8,973061.218328875
9,948809.0513258327
10,951063.2146298111
11,936696.37393631
12,942816.5310285512
13,956518.0306505132
14,945786.9734317915
15,962562.0438368319
16,950233.2748179301
17,957460.3950204503
18,980994.3310285511
19,982711.7354389922
20,969443.0164830965
21,979818.9743138796
22,987639.9913255807
23,976355.8753129796
24,963900.6025046987
25,963830.4491113593
26,957874.4999034386
27,939627.3750789561
28,956305.9629007383
29,970720.6705154999
30,985753.2193363819
31,985649.9837288212
32,982454.8855200001
33,997697.5313345818
34,987354.9175182
35,990613.4653219805
36,1005503.1891383621
37,1002431.8143498832
38,997014.990947543
39,1016566.2537738256
40,1016840.8827657248
41,1018167.3991653648
42,1023122.123377786
43,1024416.957968245
44,1018046.2605515033
45,1020169.5519556438
46,1021477.7945569039
47,1036066.4427837266
48,1037394.0715776059
49,1037452.9453759859
50,1042130.3899844467
51,1051414.733197768
52,1059373.7500024484
53,1061930.5784002882
54,1059356.0761950677
55,1055658.0735938076
56,1056950.338796328
57,1058235.7520006483
58,1063370.2427927277
59,1067775.8575992084
60,1065534.365988047
61,1073265.4363930875
62,1069612.6337918274
