,0
0,1405705.5872155689
1,1402318.1745748182
2,1403833.841182324
3,1400144.4431560973
4,1401382.8354219173
5,1393677.4144168703
6,1385416.1309694257
7,1373788.8393471618
8,1387959.3146618286
9,1368676.1502178584
10,1359851.2274211997
11,1373768.6587196412
12,1374511.3363275207
13,1394834.7398572813
14,1415355.3636415
15,1413870.4792941066
16,1408148.322566915
17,1404172.6473471832
18,1403977.8519305098
19,1402573.886892928
20,1402765.053892928
21,1403097.9008929278
22,1404075.5168929277
23,1405213.763892928
24,1404693.4838929274
25,1404693.4838929274
26,1404693.4838929274
27,1404782.546892927
28,1404652.3908929268
29,1404652.3908929268
30,1404652.3908929268
31,1404652.3908929268
32,1404652.3908929268
33,1404652.3908929268
34,1404970.871892927
35,1406276.9048929275
36,1406015.5348929274
37,1405720.6728929274
38,1404101.9748929273
39,1402031.0208929274
40,1405957.7138929274
41,1408142.3928929274
42,1406319.6088929274
43,1404439.1068929275
44,1407468.8548929275
45,1407410.2078929273
46,1407899.5528929275
47,1397534.1555729273
48,1407021.6730761859
49,1412879.9237338093
50,1409963.2761338453
51,1408564.5646341336
52,1426398.3725146914
53,1422703.8356257358
54,1417010.7821127172
55,1415558.438155727
56,1407962.7699109141
57,1407889.428939624
58,1402751.593416492
59,1412159.6462217725
60,1400914.7680039506
61,1405696.666815832
62,1410958.7139445448
