,0
0,1118.3087166827172
1,26400.9028398823
2,-1632.3832339351065
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,-1883.5860432046466
51,25.194801980396733
52,947.2196174617857
53,-13033.451244824333
54,-12200.393007200677
55,20278.66073357337
56,-9315.172352235066
57,-2521.97913891403
58,13370.966162616154
59,-31461.385961596156
60,22224.670580858132
61,17030.349313531537
