,0
0,1634222.4705362723
1,1614201.9726787864
2,1620097.3755366954
3,1645354.9776952101
4,1635323.5813004698
5,1649267.3635449188
6,1645426.166345219
7,1657433.2922925218
8,1665036.2347885016
9,1658634.6118363892
10,1656701.064825204
11,1655044.3777730048
12,1655044.3777730048
13,1655044.3777730048
14,1655044.3777730048
15,1655044.3777730048
16,1655044.3777730048
17,1655044.3777730048
18,1655044.3777730048
19,1655044.3777730048
20,1655044.3777730048
21,1655044.3777730048
22,1655044.3777730048
23,1655044.3777730048
24,1655044.3777730048
25,1655044.3777730048
26,1655044.3777730048
27,1655044.3777730048
28,1655044.3777730048
29,1655550.1317730045
30,1655416.246773005
31,1655227.857773005
32,1658018.5237730052
33,1655114.7277730054
34,1655912.8547730052
35,1652653.7487730053
36,1651398.2677730054
37,1637236.9737730054
38,1651801.6837730056
39,1635279.5567730058
40,1644808.2507730057
41,1650384.9787730058
42,1645920.1877730056
43,1667201.6058530058
44,1682054.5058530057
45,1687149.975853006
46,1686575.7958530057
47,1684358.7558530057
48,1676766.4058530058
49,1674916.0358530057
50,1671314.9258530056
51,1662860.7058530059
52,1651649.7158530056
53,1643131.8258530058
54,1629918.9558530059
55,1645031.5358530057
56,1627396.0758530058
57,1627266.975853006
58,1615611.7658530057
59,1616550.8658530058
60,1616556.5958530058
61,1614940.0608430058
62,1614940.0608430058
