,0
0,60.01110081025399
1,-5106.274893189198
2,-11854.90627032693
3,-7225.890603660606
4,1430.7855982598849
5,3631.8897068827646
6,-21057.063750882167
7,13182.667440981022
8,-24252.167003042297
9,2254.163303978392
10,-14366.840693501174
11,6120.157092241221
12,13701.49962196208
13,-10731.057218721719
14,16775.070405040402
15,-12328.769018901861
16,7227.12020252028
17,23533.936008100747
18,1717.4044104410568
19,-13268.71895589563
20,10375.957830783096
21,7821.017011701129
22,-11284.116012601182
23,-12455.27280828089
24,-70.15339333936572
25,-5955.9492079206975
26,-18247.124824482482
27,16678.587821782217
28,14414.707614761544
29,15032.548820881988
30,-103.23560756072402
31,-3195.0982088210294
32,15242.645814581658
33,-10342.613816381781
34,3258.5478037805296
35,14889.723816381535
36,-3071.3747884788318
37,-5416.823402340291
38,19551.262826282647
39,274.628991899197
40,1326.5163996400079
41,4954.724212421221
42,1294.8345904590096
43,-6370.69741674175
44,2123.291404140531
45,1308.2426012600772
46,14588.648226822726
47,1327.6287938792957
48,58.8737983800238
49,4677.4446084607625
50,9284.343213321292
51,7959.016804680461
52,2556.828397839796
53,-2574.5022052205168
54,-3698.0026012600865
55,1292.2652025204152
56,1285.4132043202408
57,5134.490792079363
58,4405.614806480706
59,-2241.4916111612692
60,7731.070405040402
61,-3652.802601260133
