,0
0,1830678.4059642628
1,1820362.540779604
2,1823199.220722255
3,1835974.6424324934
4,1834487.341019484
5,1834487.341019484
6,1834487.341019484
7,1834487.341019484
8,1835152.9002089556
9,1834906.4501778434
10,1836096.8758977854
11,1839520.2416107168
12,1838669.9333852956
13,1838177.5182422362
14,1838177.5182422362
15,1838177.5182422362
16,1838177.5182422362
17,1838177.5182422362
18,1837031.8994088187
19,1836901.9896754392
20,1830063.3491159568
21,1833505.5679070922
22,1832987.2624183274
23,1832650.9672002643
24,1832650.9672002643
25,1832650.9672002643
26,1832650.9672002643
27,1832650.9672002643
28,1832650.9672002643
29,1832650.9672002643
30,1832650.9672002643
31,1832650.9672002643
32,1832650.9672002643
33,1832650.9672002643
34,1832650.9672002643
35,1832650.9672002643
36,1832650.9672002643
37,1832650.9672002643
38,1832650.9672002643
39,1832650.9672002643
40,1832650.9672002643
41,1832650.9672002643
42,1832650.9672002643
43,1832650.9672002643
44,1832650.9672002643
45,1832650.9672002643
46,1832650.9672002643
47,1832650.9672002643
48,1832650.9672002643
49,1832650.9672002643
50,1832650.9672002643
51,1832650.9672002643
52,1832650.9672002643
53,1832650.9672002643
54,1832650.9672002643
55,1832650.9672002643
56,1832650.9672002643
57,1832650.9672002643
58,1832650.9672002643
59,1832650.9672002643
60,1832650.9672002643
61,1832650.9672002643
62,1832650.9672002643
