,0
0,1100707.5800350204
1,1097413.2481009073
2,1111549.9466357194
3,1112793.5394169025
4,1114666.007063512
5,1121277.6280559783
6,1108880.2375180426
7,1107144.8631209936
8,1100583.4150015477
9,1109735.621123608
10,1105729.8439717074
11,1113117.2188097169
12,1121847.049589671
13,1119756.5949069727
14,1118081.8813138294
15,1123742.8915928628
16,1124186.81326964
17,1138213.5848884806
18,1138076.2970060373
19,1136187.836995874
20,1138570.783485546
21,1134465.4957239795
22,1125529.373583503
23,1125387.389059023
24,1123902.9191721578
25,1153408.97754984
26,1154051.5473646917
27,1194922.7730729033
28,1232454.9786181233
29,1244860.3983866093
30,1259063.5960113879
31,1262947.6807936393
32,1247191.743934635
33,1253018.1727006654
34,1255479.036075607
35,1261802.2015438369
36,1266051.7738243388
37,1271833.0742961813
38,1272219.9756626028
39,1269611.8017584258
40,1273958.1705250943
41,1291731.0004001842
42,1310419.9224218752
43,1300325.4164873294
44,1314906.9575809839
45,1324366.7391184988
46,1348804.1053399548
47,1366576.0144870924
48,1371687.4760213112
49,1357860.2769101802
50,1366208.348182575
51,1364218.8368514369
52,1372723.248422674
53,1358051.7470365474
54,1362479.127243391
55,1376894.9755077271
56,1373228.8975663579
57,1370035.2757925193
58,1372286.1834594817
59,1374542.5032035047
60,1365819.071808415
61,1359691.0005370863
62,1361067.7783399338
