,0
0,1410958.7139445448
1,1401778.038588793
2,1410375.2759707135
3,1409101.653698943
4,1407010.9022637797
5,1417630.980428229
6,1418840.5329695789
7,1421545.0343486432
8,1422327.5108801643
9,1417852.8227541456
10,1423969.9988445088
11,1409614.8149612083
12,1408511.950671208
13,1401824.0093612086
14,1416681.4066312083
15,1412098.3938312083
16,1413817.7386512086
17,1412403.9323512083
18,1412942.915351208
19,1414209.1303512082
20,1417614.5973512079
21,1417502.8523512078
22,1419176.0773512078
23,1420863.921351208
24,1418869.1825512077
25,1416748.1166412076
26,1403898.3096712078
27,1407363.7419712078
28,1416673.026541208
29,1417562.1362512077
30,1418450.0776312079
31,1401031.4528412079
32,1396439.4328412078
33,1397448.3528412078
34,1408981.772841208
35,1406090.7028412076
36,1405444.9728412076
37,1406438.5828412077
38,1409522.3828412076
39,1414569.0628412075
40,1415578.9628412076
41,1417838.4428412076
42,1420319.9328412078
43,1409482.8528412078
44,1412569.7728412077
45,1415582.4428412078
46,1415179.0728412075
47,1429886.7628412077
48,1430995.9528412079
49,1434693.1228412078
50,1438634.5128412074
51,1444738.5828412077
52,1449196.4828412076
53,1452466.4328412076
54,1455474.2428412077
55,1451339.0428412077
56,1451527.9228412076
57,1447114.9128412076
58,1446797.1828412078
59,1450895.092841208
60,1453374.7628412077
61,1454036.5228412077
62,1459995.9928412077
