,0
0,1459995.9928412077
1,1461418.7586524226
2,1471472.5406146129
3,1467954.2858616204
4,1466958.9364647015
5,1470847.9547692519
6,1471431.6587965712
7,1470270.081860399
8,1470668.5985560531
9,1473480.6199345104
10,1470318.7591666284
11,1482494.9281921384
12,1478836.995530979
13,1486829.4930229103
14,1481397.6005388424
15,1489811.285938393
16,1478779.8347388965
17,1482318.1818918444
18,1480285.770606105
19,1479961.7192356845
20,1480368.1716677193
21,1484772.0187582264
22,1491813.086090844
23,1492566.8633113545
24,1495032.113646084
25,1500401.4188020788
26,1501476.1563939636
27,1493154.3853279413
28,1489239.3111145252
29,1492423.3519125194
30,1490956.0152480716
31,1482541.579626279
32,1494802.1337955655
33,1487522.873795821
34,1492307.2677285098
35,1502346.7183531485
36,1498053.9607930323
37,1499788.9230171768
38,1498679.88566602
39,1512954.2495034495
40,1519730.626161983
41,1543288.1274623962
42,1532181.5952065052
43,1545214.7304743752
44,1536834.277376755
45,1537759.7353472756
46,1544255.7241481405
47,1553922.8628464134
48,1553016.5636814518
49,1562380.8690177505
50,1569324.352214505
51,1566472.8347169603
52,1571856.411926329
53,1583677.7588049856
54,1585201.8256614767
55,1586668.3070670124
56,1586079.1429005922
57,1587123.0062652486
58,1586588.8180808267
59,1587088.1425567097
60,1589951.3641185798
61,1582959.0737635202
62,1592802.4731852787
