,0
0,-1353.4599089601543
1,14136.69853481208
2,1243.592781183077
3,1872.4676466095261
4,6611.620992466342
5,-12397.390537935775
6,-1735.3743970489595
7,-6561.448119445937
8,9152.206122060306
9,-4005.7771519005764
10,7387.374838009477
11,8729.830779954093
12,-2090.4546826982405
13,-1674.7135931432713
14,5661.010279033333
15,443.9216767773032
16,14026.771618840517
17,-137.28788244328462
18,-1888.4600101632532
19,2382.9464896719437
20,-4105.287761566462
21,-8936.12214047648
22,-141.9845244800672
23,-1484.469886865234
24,29506.05837768223
25,642.5698148517404
26,40871.22570821154
27,37532.20554522006
28,12405.41976848594
29,14203.197624778608
30,3884.0847822513897
31,-15755.9368590042
32,5826.428766030353
33,2460.8633749415167
34,6323.165468229912
35,4249.572280501947
36,5781.300471842522
37,386.9013664214872
38,-2608.1739041770343
39,4346.3687666684855
40,17772.829875089927
41,18688.92202169099
42,-10094.50593454577
43,14581.541093654465
44,9459.781537514878
45,24437.36622145609
46,17771.909147137543
47,5111.461534218863
48,-13827.19911113102
49,8348.071272394853
50,-1989.511331138201
51,8504.411571237026
52,-14671.501386126503
53,4427.380206843605
54,14415.84826433612
55,-3666.0779413692653
56,-3193.621773838531
57,2250.907666962361
58,2256.3197440230288
59,-8723.43139508972
60,-6128.071271328721
61,1376.7778028475586
