,0
0,1614940.0608430058
1,1615357.2796602873
2,1619878.9668871101
3,1624439.3552939505
4,1613426.8900413252
5,1623802.3085513767
6,1628202.6453656582
7,1625741.065961218
8,1636201.2696215839
9,1639555.6956968915
10,1626981.3722500626
11,1625907.4682730092
12,1620197.3119716141
13,1643076.8416441313
14,1657011.7869103898
15,1667882.9959887606
16,1661443.101140156
17,1653207.3438731022
18,1679512.352201473
19,1658959.2359095558
20,1657300.313231749
21,1657300.313231749
22,1657300.313231749
23,1657300.313231749
24,1657300.313231749
25,1657300.313231749
26,1657300.313231749
27,1657300.313231749
28,1657300.313231749
29,1657300.313231749
30,1657300.313231749
31,1657300.313231749
32,1657300.313231749
33,1657300.313231749
34,1657300.313231749
35,1656295.1526667923
36,1659348.9076298885
37,1665689.1265677821
38,1664251.0210424298
39,1667268.3439305187
40,1659475.699564782
41,1658412.7869275184
42,1658412.7869275184
43,1658468.486736699
44,1659789.9464351693
45,1657449.648131839
46,1656149.085232349
47,1659002.7991306388
48,1658118.3236175878
49,1658118.3236175878
50,1658118.3236175878
51,1658118.3236175878
52,1659575.3608504117
53,1659394.7858093074
54,1661288.4437511018
55,1663226.967247951
56,1657591.3160436307
57,1654472.5859944257
58,1649690.4609398204
59,1648813.1341048367
60,1647727.5543442606
61,1647727.5543442606
62,1647727.5543442606
